New Glarus Woods State Park,4.0,2.0,47.214,37.867,1,0,1,1,
Oak Grove Trail,2.3,1.5,46.158,58.297,2,0,1,1,
Pheasant Branch Conservancy,3.1,2.0,7.121,28.64,1,0,1,1,
Indian Lake County Park,3.6,2.0,11.371,37.28,2,0,1,1,
Table Bluff,4.4,2.0,8.626,40.22,2,0,0,1,
Donald Park,4.0,2.5,57.544,40.9,2,0,1,1,
Lake Kegonsa State Park,2.4,1.0,58.824,14.178,1,0,1,1,
Curtis Prairie,2.4,2.0,2.457,25.847,2,0,1,0,
Picnic Point,3.7,2.0,5.067,25.722,2,0,1,1,
Gallistel Woods,2.7,1.5,2.753,25.643,2,0,1,0,
Pope Farm Conservancy,1.8,1.0,4.512,33.971,1,0,1,0,
Gibraltar Rock,1.4,1.0,20.901,35.951,3,0,1,1,
Yellow Stone Double Loop,2.5,1.5,46.33,59.018,2,0,1,1,
Blue Mound State Park,5.6,3.0,1.588,51.362,3,0,1,1,
Lake Farm County Park,2.2,1.5,1.594,19.95,1,0,1,1,
Badger State Trail,11.0,4.0,51.507,31.999,2,0,0,1,
Natural Bridge State Park,1.3,1.0,20.787,55.818,2,0,1,0,
Cox Hollow Lake Loop,5.0,3.0,0.655,7.345,3,0,1,1,
Capital City State Trail,4.6,2.0,1.221,27.19,2,0,0,1,
Governor Nelson State Park Circuit,2.0,1.0,7.791,26.091,1,0,1,1,
Turville Point Conservation Park,1.5,1.5,3.216,22.502,2,0,1,0,
Pewit’s Nest State Natural Area,1.0,0.5,27.157,47.366,2,0,0,1,
Tower Hill State Park,1.4,1.0,8.897,2.75,1,0,1,1,
Stewart Lake County Park,3.5,2.0,1.093,44.675,2,0,1,1,
Edna Taylor Conservation Park,1.7,1.0,3.109,19.01,1,0,1,0,
Token Creek Park,3.0,1.0,10.951,19.159,1,0,1,1,
Owen Conservation Park,1.2,1.0,4.383,29.247,1,0,1,0,
Cherokee Marsh South,1.2,1.0,9.196,23.018,1,0,1,0,
Devil’s Lake: East Bluff,4.6,3.0,25.708,43.602,3,0,1,1,
Stephens Falls Hike,8.5,4.0,1.628,7.781,3,0,1,1,
Rowan Creek Trail,2.9,1.0,22.868,24.895,2,0,1,1,
Cherokee Marsh North,1.8,1.0,10.029,21.886,2,0,1,0,
Black Hawk Unit,5.0,3.0,14.372,43.643,2,0,1,1,
Swan Lake Wildlife Area,3.8,2.0,31.144,24.267,2,0,0,1,
Devil’s Lake: West Bluff,2.7,2.0,25.627,44.092,3,0,1,1,
